t,yt
0,0.0
1,0.0
2,0.0
3,1.0
4,1209.0
5,4619.0
6,4619.0
7,7736.0
8,9224.0
9,10222.0
10,14208.0
11,14208.0
12,16494.0
13,18812.0
14,18812.0
15,0.0
16,4669.0
17,4669.0
18,9285.0
19,11667.0
20,13886.0
21,18506.0
22,18506.0
23,18506.0
24,21539.0
25,26143.0
26,26143.0
27,30742.0
28,30742.0
29,35737.0
30,35737.0
31,35738.0
32,40274.0
33,40274.0
34,40274.0
35,40274.0
36,40274.0
37,40274.0
38,40275.0
39,40275.0
40,40275.0
41,44944.0
42,44944.0
43,44944.0
44,44944.0
45,44945.0
46,44945.0
47,44945.0
48,49186.0
49,49186.0
50,49186.0
51,54152.0
52,54152.0
53,54153.0
54,58766.0
55,58766.0
56,0.0
57,3871.0
58,0.0
59,0.0
60,4608.0
61,4609.0
62,9212.0
63,9212.0
64,9440.0
65,13834.0
66,17534.0
67,17534.0
68,19744.0
69,22155.0
70,0.0
71,210.0
72,1572.0
73,4809.0
74,4809.0
75,9411.0
76,9412.0
77,13069.0
78,17670.0
79,17670.0
80,22269.0
81,22269.0
82,22269.0
83,22269.0
84,26874.0
85,26874.0
86,31502.0
87,31502.0
88,35216.0
89,36102.0
90,36102.0
91,41070.0
92,41070.0
93,41070.0
94,45678.0
95,45678.0
96,45678.0
97,45678.0
98,45678.0
99,50277.0
100,50277.0
101,54905.0
102,54905.0
103,54905.0
104,59517.0
105,59517.0
106,59517.0
107,64190.0
108,36102.0
109,40726.0
110,40866.0
111,40892.0
112,40965.0
113,45982.0
114,45982.0
115,50581.0
116,50581.0
117,50581.0
118,55181.0
119,55181.0
120,55183.0
121,55183.0
122,59798.0
123,59798.0
124,62797.0
125,63424.0
126,67426.0
127,67465.0
128,69388.0
129,72169.0
130,72365.0
131,77140.0
132,77140.0
133,77140.0
134,81740.0
135,81740.0
136,81740.0
137,81741.0
138,86368.0
139,86368.0
140,86368.0
141,91053.0
142,91163.0
143,92922.0
144,103451.0
145,103451.0
146,107691.0
147,112663.0
148,117271.0
149,121872.0
